EpochsDir,Dataset,Model,Strategy,TestAccuracy,TestLoss,BestEpoch,BestValAcc
matrix_results_50epochs,SVHN,SIMPLE CNN,CONSISTENCY,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_50epochs,SVHN,SIMPLE CNN,CO TRAINING,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_50epochs,SVHN,SIMPLE CNN,PSEUDO LABELING,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_35epochs,CIFAR100,MLP,ADAS WSL,0.2104,3.3806237751924537,25,0.2204
matrix_results_35epochs,CIFAR100,MLP,BASELINE,0.2013,3.402644905862929,17,0.2204
matrix_results_35epochs,CIFAR100,MLP,CONSISTENCY,0.2013,3.402644905862929,17,0.2204
matrix_results_35epochs,CIFAR100,MLP,CO TRAINING,0.2013,3.402644905862929,17,0.2204
matrix_results_35epochs,CIFAR100,MLP,PSEUDO LABELING,0.2013,3.402644905862929,17,0.2204
matrix_results_35epochs,CIFAR100,RESNET,ADAS WSL,0.5277,1.9660901676250409,8,0.5318
matrix_results_35epochs,CIFAR100,RESNET,BASELINE,0.5443,3.232553898533688,33,0.5432
matrix_results_35epochs,CIFAR100,RESNET,CONSISTENCY,0.5326,2.928107919572275,21,0.5424
matrix_results_35epochs,CIFAR100,RESNET,CO TRAINING,0.559,2.0618647321870056,35,0.5624
matrix_results_35epochs,CIFAR100,RESNET,PSEUDO LABELING,0.562,2.2106907654412185,35,0.5648
matrix_results_35epochs,CIFAR100,SIMPLE CNN,ADAS WSL,0.4705,3.156491925444784,32,0.4628
matrix_results_35epochs,CIFAR100,SIMPLE CNN,BASELINE,0.4494,2.6173041108288344,15,0.4556
matrix_results_35epochs,CIFAR100,SIMPLE CNN,CONSISTENCY,0.4494,2.6173041108288344,15,0.4556
matrix_results_35epochs,CIFAR100,SIMPLE CNN,CO TRAINING,0.4494,2.6173041108288344,15,0.4556
matrix_results_35epochs,CIFAR100,SIMPLE CNN,PSEUDO LABELING,0.4494,2.6173041108288344,15,0.4556
matrix_results_35epochs,CIFAR10N,MLP,ADAS WSL,0.5288,1.3427280157427244,33,0.5328
matrix_results_35epochs,CIFAR10N,MLP,BASELINE,0.5327,1.3449245495132254,33,0.5272
matrix_results_35epochs,CIFAR10N,MLP,CONSISTENCY,0.5305,1.3440995457806164,33,0.5348
matrix_results_35epochs,CIFAR10N,MLP,CO TRAINING,0.5294,1.3516063207312474,32,0.5246
matrix_results_35epochs,CIFAR10N,MLP,PSEUDO LABELING,0.5294,1.3883273918417436,32,0.5254
matrix_results_35epochs,CIFAR10N,RESNET,ADAS WSL,0.8345,0.7261189448682568,14,0.8436
matrix_results_35epochs,CIFAR10N,RESNET,BASELINE,0.8394,0.8612759045407742,20,0.847
matrix_results_35epochs,CIFAR10N,RESNET,CONSISTENCY,0.8302,0.5761764811564095,7,0.8302
matrix_results_35epochs,CIFAR10N,RESNET,CO TRAINING,0.8406,0.916004108854487,31,0.8468
matrix_results_35epochs,CIFAR10N,RESNET,PSEUDO LABELING,0.8372,0.7196190666548813,13,0.8384
matrix_results_35epochs,CIFAR10N,SIMPLE CNN,ADAS WSL,0.7792,1.1856723450407196,22,0.7946
matrix_results_35epochs,CIFAR10N,SIMPLE CNN,BASELINE,0.7881,0.7664080922362171,10,0.7986
matrix_results_35epochs,CIFAR10N,SIMPLE CNN,CONSISTENCY,0.7881,0.7664080922362171,10,0.7986
matrix_results_35epochs,CIFAR10N,SIMPLE CNN,CO TRAINING,0.7881,0.7664080922362171,10,0.7986
matrix_results_35epochs,CIFAR10N,SIMPLE CNN,PSEUDO LABELING,0.7881,0.7664080922362171,10,0.7986
